07502024075015, 2, "Tamiya 2oz paint - ferrari red", 2.39, 1, 0.0, $2.39, 09/07/24, 7:50:15 PM EDT
07502024075015, 268, "Sidi Wire 2 carbon shoes - size 48", 499.99, 1, 0.0, $499.99, 09/07/24, 7:50:15 PM EDT

07502024075032, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, $6.95, 09/07/24, 7:50:32 PM EDT

07502024075044, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 12, 0.15, $91.70, 09/07/24, 7:50:44 PM EDT

07532024075316, 3451, "Oakley Jawbreaker sunglasses", 236.00, 100, 0.2, $18880.00, 09/07/24, 7:53:16 PM EDT
07532024075316, 387, "Brachs butterscotch hard candy - 1 lb", 4.50, 4, 0.0, $18.00, 09/07/24, 7:53:16 PM EDT
07532024075316, 2190, "Hefty 30 gal with handles - box 40", 19.00, 242, 0.2, $3678.40, 09/07/24, 7:53:16 PM EDT
07532024075316, 19981, "Pledge furniture polish 13oz", 6.50, 1, 0.0, $6.50, 09/07/24, 7:53:16 PM EDT
07532024075316, 89476, "Assos T-Evo shorts", 299.95, 1, 0.0, $299.95, 09/07/24, 7:53:16 PM EDT

07212024092104, 4762, "HP copy paper ultra white - ream", 13.50, 21, 0.2, $226.80, 09/07/24, 9:21:04 PM EDT
07212024092104, 2, "Tamiya 2oz paint - ferrari red", 2.39, 3, 0.0, $7.17, 09/07/24, 9:21:04 PM EDT
07212024092104, 387, "Brachs butterscotch hard candy - 1 lb", 4.50, 21, 0.2, $75.60, 09/07/24, 9:21:04 PM EDT
07212024092104, 198, "Box of 10 Sharpie Roller 0.5mm", 6.50, 2000, 0.2, $10400.00, 09/07/24, 9:21:04 PM EDT
07212024092104, 234887, "2024 CSX train calendar", 12.95, 21, 0.2, $217.56, 09/07/24, 9:21:04 PM EDT

08402024014028, 234887, "2024 CSX train calendar", 12.95, 24, 0.2, $248.64, 09/08/24, 1:40:28 AM EDT
08402024014028, 298765, "3x5 index cards - 100 count", 2.25, 12000, 0.2, $21600.00, 09/08/24, 1:40:28 AM EDT
08402024014028, 4762, "HP copy paper ultra white - ream", 13.50, 24, 0.2, $259.20, 09/08/24, 1:40:28 AM EDT
08402024014028, RTX3452, "Laser Pointer", 38.80, 1, 0.0, $38.80, 09/08/24, 1:40:28 AM EDT
08402024014028, 2190, "Hefty 30 gal with handles - box 40", 19.00, 800, 0.2, $12160.00, 09/08/24, 1:40:28 AM EDT

08552024125508, 2190, "Hefty 30 gal with handles - box 40", 19.00, 12, 0.15, $193.80, 09/08/24, 12:55:08 PM EDT
08552024125508, 3451, "Oakley Jawbreaker sunglasses", 236.00, 19, 0.2, $3587.20, 09/08/24, 12:55:08 PM EDT
08552024125508, 22345532, "3 ft mini USB cable M-F", 4.50, 222, 0.2, $799.20, 09/08/24, 12:55:08 PM EDT
08552024125508, 14909, "1/4in - 28tpi SS nuts", 1.00, 1250, 0.2, $1000.00, 09/08/24, 12:55:08 PM EDT
08552024125508, 2, "Tamiya 2oz paint - ferrari red", 2.39, 1, 0.0, $2.39, 09/08/24, 12:55:08 PM EDT

08162024031601, 198, "Box of 10 Sharpie Roller 0.5mm", 6.50, 2222, 0.2, $11554.40, 09/08/24, 3:16:01 PM EDT
08162024031601, 3451, "Oakley Jawbreaker sunglasses", 236.00, 21, 0.2, $3964.80, 09/08/24, 3:16:01 PM EDT
08162024031601, 89476, "Assos T-Evo shorts", 299.95, 1, 0.0, $299.95, 09/08/24, 3:16:01 PM EDT
08162024031601, 2, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0.0, $4.78, 09/08/24, 3:16:01 PM EDT
08162024031601, 14909, "1/4in - 28tpi SS nuts", 1.00, 1250, 0.2, $1000.00, 09/08/24, 3:16:01 PM EDT

08292024082901, 14909, "1/4in - 28tpi SS nuts", 1.00, 211, 0.2, $168.80, 09/08/24, 8:29:01 PM EDT
08292024082901, 85456, "Campagnolo 12 spd rear der", 350.00, 1, 0.0, $350.00, 09/08/24, 8:29:01 PM EDT
08292024082901, 113355, "The Bourne Identity - blu-ray", 15.95, 4, 0.0, $63.80, 09/08/24, 8:29:01 PM EDT
08292024082901, 8543, "Ritchey 1 inch threaded headset - silver", 45.00, 1, 0.0, $45.00, 09/08/24, 8:29:01 PM EDT
08292024082901, 14, "Stanley #2 Philips Screwdriver", 6.95, 2, 0.0, $13.90, 09/08/24, 8:29:01 PM EDT

08332024083304, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, $6.95, 09/08/24, 8:33:04 PM EDT

